key,zh,existing_en
“addedToInventory”,“已放入背包”,“Added to inventory”
“amulet”,“護符”,“Amulet”
“armor”,“防具”,“Armor”
“blackMarketBought”,“在黑市購買”,“Bought at black market”
“blackMarketEnd”,“黑市交易結束。”,“Black market trading ended.”
“blackMarketLimit”,“已達黑市購買上限（2 件）。”,“Black market purchase limit reached (2 items).”
“branchAllyJoin”,“👥 一位流浪戰士加入協助你戰鬥！（下次戰鬥攻擊+20%）”,“👥 A wandering warrior joins to assist you in battle! (Next battle attack +20%)”
“branchAmbush”,“⚠️ 突然遭遇伏擊！額外的敵人出現！”,“⚠️ Sudden ambush! Additional enemies appear!”
“branchAncientPower”,“🔥 吸收古老力量！永久攻擊+5”,“🔥 Ancient power absorbed! Permanent attack +5”
“branchBossInsight”,“🔍 洞察敵人弱點！下次對BOSS傷害+30%”,“🔍 Enemy weakness revealed! Next boss damage +30%”
“branchCurse”,“💀 被詛咒！最大生命-10%”,“💀 Cursed! Max HP -10%”
“branchCurseItem”,“😈 獲得詛咒物品！強大但有代價”,“😈 Cursed item obtained! Powerful but at a cost”
“branchDesertGuide”,“🧭 遇到沙漠嚮導！下5步顯示事件類型”,“🧭 Desert guide encountered! Next 5 steps show event types”
“branchDiscount”,“💰 商人給你折扣！所有物品8折”,“💰 Merchant discount! All items 20% off”
“branchDivineTrial”,“⚔️ 神聖試煉！擊敗額外守衛獲得神器”,“⚔️ Divine trial! Defeat extra guards for artifact”
“branchDoubleLoot”,“💰💰 雙倍寶藏！”,“💰💰 Double treasure!”
“branchEpicLoot”,“💎 獲得史詩級戰利品！”,“💎 Epic loot obtained!”
“branchEscapeRoute”,“🏃 發現逃生路線！（可選擇逃跑）”,“🏃 Escape route found! (Can choose to flee)”
“branchGodBlessing”,“✨ 獲得神祇祝福！全屬性+10%”,“✨ God’s blessing received! All attributes +10%”
“branchHealingSpring”,“💧 治癒之泉！完全恢復生命值”,“💧 Healing spring! Full HP restored”
“branchHiddenPassage”,“🚪 發現隱藏通道！跳過3步”,“🚪 Hidden passage found! Skip 3 steps”
“branchHiddenTreasure”,“🗝️ 發現隱藏寶藏！”,“🗝️ Hidden treasure discovered!”
“branchLegendaryLoot”,“👑 傳說級寶物！”,“👑 Legendary treasure!”
“branchOasisBlessing”,“🌴 綠洲祝福！生命恢復速度+50%（持續）”,“🌴 Oasis blessing! HP recovery rate +50% (ongoing)”
“branchPowerSurge”,“⚡ 力量激增！攻擊力暫時+50%（3回合）”,“⚡ Power surge! Attack temporarily +50% (3 turns)”
“branchQuicksand”,“⚠️ 陷入流沙！損失一些金幣”,“⚠️ Trapped in quicksand! Lost some gold”
“branchRareItem”,“🎁 商人展示稀有商品！”,“🎁 Merchant shows rare goods!”
“branchRevengeQuest”,“⚔️ 接受復仇任務！擊敗特定敵人獲得獎勵”,“⚔️ Revenge quest accepted! Defeat specific enemy for reward”
“branchSecretChamber”,“🔓 發現秘密房間！獲得大量金幣”,“🔓 Secret chamber found! Large amount of gold obtained”
“branchSpecialEvent”,“🎲 觸發特殊事件”,“🎲 Special event triggered”
“branchTreasureDrop”,“✨ 敵人掉落了稀有寶物！”,“✨ Enemy dropped rare treasure!”
“buriedTreasureFound”,“🏺 你發現了一個掩埋在沙中的古老陶罐…”,“🏺 You discovered an ancient jar buried in the sand…”
“buy”,“購買”,“Buy”
“cannotEquip”,“此物品無法裝備。”,“This item cannot be equipped.”
“caravanBuyFood”,“🍖 你向商隊購買了食物和休息（花費60金幣），HP和體力完全恢復！”,“🍖 You bought food and rest from the caravan (cost 60 gold), HP and stamina fully restored!”
“caravanGift”,“🍞 商隊分享了食物和水，HP”,“🍞 The caravan shared food and water, HP”
“combatLuck”,“戰鬥幸運”,“Combat luck”
“consumeStamina”,“消耗體力”,“Consume stamina”
“curseGoldLoss”,“💸 你的金幣憑空消失了”,“💸 Your gold vanished into thin air”
