"key","zh","existing_en"
"title","","Desert Slots RPG"
"symbolGuide","","Symbol Guide"
"attack","","Attack"
"skill","","Skill"
"defense","","Defend"
"enemyAttack","","Enemy Attack"
"heal","","Heal"
"luckyBonus","","Lucky Bonus"
"welcomeMessage","","Welcome to the cursed desert. Spin the wheel of fate to survive."
"remainingSteps","","Steps Left"
"front","","Forward"
"left","","Left"
"right","","Right"
"spin","","Spin"
"stop","","Stop"
"autoSpin","","Auto Spin"
"flee","","Flee"
"save","","Save Game"
"load","","Load Game"
"submit","","Submit"
"close","","Close"
"musicOn","","Music ON"
"musicOff","","Music OFF"
"equipmentAndInventory","","Inventory & Equipment"
"empty","","Empty"
"inputPlaceholder","","Enter value..."
"blackMarket","","Black Market"
"blackMarketDesc","","Purchase equipment (Common to Epic) via gambling at the Black Market; you can buy up to two items. Proceed with caution!"
"chooseDirection","","Choose a Direction"
"desertJourney","","Desert Journey"
"pyramidPassage","","You stand in a dimly lit chamber within the pyramid, torchlight flickering on the walls..."
"youChose","","You chose"
"direction","","Direction"
"movedSteps","","Moved steps"
"steps","","steps"
"pyramidExploration","","Pyramid Exploration"
"dirFront","","Front"
"dirLeft","","Left"
"dirRight","","Right"
"pyramidDirFront","","The passage ahead"
"pyramidDirLeft","","The stone door on the left"
"pyramidDirRight","","The stone door on the right"
"hintBattle","","You sense a murderous intent nearby..."
"hintDust","","A cloud of dust rises in the distance."
"hintKilling","","The air smells of blood."
"hintRoar","","A terrifying roar echoes across the dunes."
"hintFootprints","","You see strange footprints in the sand."
"hintMonster1","","Something is watching you."
"hintMonster2","","You hear low growling."
"hintMonster3","","A shadow moves quickly."
"hintMonster4","","The sand is shifting unnaturally."
"hintMonster5","","You feel a hostile gaze."
"hintMonster6","","Predators are near."
"hintMonster7","","The wind carries the scent of a beast."
"hintMonster8","","Claws scratch against stone."
"hintMonster9","","Heavy breathing is audible."
"hintMonster10","","Danger lurks ahead."
"hintPowerful","","An overwhelming pressure crushes the air."
"hintGiantShadow","","A colossal shadow blocks the sun."
"hintDeepRoar","","The ground trembles from a deep roar."
"hintDanger","","Warning: Extreme Danger Ahead!"
"hintElite1","","A powerful foe awaits."
"hintElite2","","The aura ahead is suffocating."
"hintElite3","","You hear the sound of heavy armor."
"hintElite4","","A veteran of many battles is near."
"hintElite5","","Prepare for a tough fight."
"hintElite6","","This enemy is not like the others."
"hintElite7","","A champion of the desert stands guard."
"hintElite8","","Dark energy radiates from ahead."
"hintElite9","","Silence... the calm before the storm."
"hintElite10","","Death walks this path."
"hintTemple","","You see the ruins of a temple."
"hintTerror","","You are seized by sudden terror."
"hintFootsteps","","Heavy footsteps approach."
"hintHugeShadow","","A massive shadow looms."
"hintMiniBoss1","","A guardian blocks the path."
"hintMiniBoss2","","The leader of the pack is here."
"hintMiniBoss3","","An ancient construct awakens."
"hintMiniBoss4","","A cursed warrior wanders here."
"hintMiniBoss5","","The sand swirls violently."
"hintMiniBoss6","","You hear a commanding shout."
"hintMiniBoss7","","A large beast is feeding."
"hintMiniBoss8","","The path is guarded by a giant."
"hintMiniBoss9","","You feel a magical disturbance."
"hintMiniBoss10","","A formidable opponent appears."
"hintCaravanBells","","You hear the faint sound of bells."
"hintTent","","You spot a tent in the distance."
"hintSpices","","The smell of exotic spices drifts by."
"hintMerchantFlag","","You see a merchant's flag."
"hintMerchant1","","A traveler is resting ahead."
"hintMerchant2","","Camels are parked nearby."
"hintMerchant3","","Someone is cooking food."
"hintMerchant4","","A friendly voice calls out."
"hintMerchant5","","Goods are being displayed."
"hintMerchant6","","A trade caravan is passing."
"hintMerchant7","","You hear coins jingling."
"hintMerchant8","","A wandering trader appears."
"hintMerchant9","","Supplies might be available ahead."
"hintMerchant10","","A chance to trade."
"hintMysteryDeal","","A shady figure beckons you."
"hintBlackTent","","A pitch-black tent stands alone."
"hintBlackMarket","","The atmosphere feels illicit."
"hintMaskedMerchant","","A masked merchant watches you."
"hintBlackMarket1","","Rare items for a price."
"hintBlackMarket2","","Do you feel lucky?"
"hintBlackMarket3","","High stakes ahead."
"hintBlackMarket4","","Forbidden goods available."
"hintBlackMarket5","","The shadows hide a shop."
"hintBlackMarket6","","Gamblers gather here."
"hintBlackMarket7","","Fortune favors the bold."
"hintBlackMarket8","","A secret exchange point."
"hintBlackMarket9","","Gold talks here."
"hintBlackMarket10","","Enter at your own risk."
"hintWater","","The air feels humid."
"hintGreen","","You see a patch of green."
"hintMoist","","The sand here is damp."
"hintPalms","","Palm trees are visible on the horizon."
"hintFreshWater","","The smell of fresh water."
"hintOasis1","","A sanctuary lies ahead."
"hintOasis2","","Birds are flying towards the east."
"hintOasis3","","Refuge from the heat."
"hintOasis4","","Water glistens in the sun."
"hintOasis5","","Life blooms in the desert."
"hintOasis6","","A place to rest."
"hintOasis7","","Nature's blessing."
"hintOasis8","","Cool breeze approaches."
"hintOasis9","","The desert's jewel."
"hintOasis10","","Salvation."
"hintSandstorm","","The wind is picking up speed."
"hintStrongWind","","Sand stings your face."
"hintWindSound","","A howling wind drowns out all sound."
"hintDarkSky","","The sky turns brown with dust."
"hintSandstorm1","","Visibility is dropping."
"hintSandstorm2","","A storm is brewing."
"hintSandstorm3","","Take cover!"
"hintSandstorm4","","The wrath of the desert."
"hintSandstorm5","","Nature is angry."
"desertCleared","","Desert Cleared!"
"nothingHappened","","Nothing happened."
"encounterEnemy","","Encountered Enemy"
"enterBattle","","Enter Battle"
"encounterEnemyName","","Encountered"
"pyramidEnemyStrong","","A Pyramid Guardian attacks!"
"attackX","","Attack x"
"strengthX","","Strength x"
"notInBattle","","Not in battle."
"fleeSuccess","","Escaped successfully!"
"fleeFailed","","Failed to escape!"
"victoryMessage","","Victory!"
