key,zh_text,en_translation
addedToInventory,已放入背包,
addedToInventoryMsg,（已加入背包）,
amulet,護符,
armor,防具,
atkShort,攻,
attack,攻擊,
attackIn,攻擊倒數,
attackX,攻擊x,
autoSpin,自動旋轉,
auto_spin_text_start,自動旋轉,
auto_spin_text_stop,停止自動,
badge_unlocked_ngplus,解鎖於周目+,
banditLootRecovered,💰 從強盜那裡奪回了戰利品：{gold} 金幣！,
battle_luck_evaded_corpse_poison,🎲 戰鬥幸運發揮，避免屍毒！,
blackMarket,黑市商人,
blackMarketBought,在黑市購買,
blackMarketDesc,黑市中可以以賭博方式購買裝備（普通～史詩），最多可購買兩件。請小心行事！,
blackMarketEnd,黑市交易結束。,
blackMarketError,（系統錯誤：黑市介面未載入）,
blackMarketLimit,已達黑市購買上限（2 件）。,
blackMarketMet,遇到黑市商人：能在黑市中獲得普通到史詩級裝備，此為賭博交易，最多購買兩件。,
bloodline,血脈,
bloodline_awakened,已覺醒 {name} 血脈,
bloodline_choose_cancelled,已取消血脈選擇,
bloodline_chosen,已選擇血脈：{name},
bloodline_trigger_name,觸發血脈效果：{name}（更多細節見描述）,
bloodline_trigger_pct,觸發血脈效果：使敵人獲得 {pct}% 每回合灼燒（持續 {duration} 回合）,
bloodline_trigger_range,觸發血脈效果（範圍數值），顯示值會在生成時鎖定,
bonus,加成,
boughtFood,🍖 購買食物，HP +30，體力 +15,
boughtPotion,🧪 購買藥水 x1,
boughtPotions,🧪 你向商隊購買了2瓶藥水（花費60金幣）,
branchAllyJoin,👥 一位流浪戰士加入協助你戰鬥！（下次戰鬥攻擊+20%）,
branchAmbush,⚠️ 突然遭遇伏擊！額外的敵人出現！,
branchAncientPower,🔥 吸收古老力量！永久攻擊+5,
branchBossInsight,🔍 洞察敵人弱點！下次對BOSS傷害+30%,
branchCurse,💀 被詛咒！最大生命-10%,
branchCurseItem,😈 獲得詛咒物品！強大但有代價,
branchDesertGuide,🧭 遇到沙漠嚮導！下5步顯示事件類型,
branchDiscount,💰 商人給你折扣！所有物品8折,
branchDivineTrial,⚔️ 神聖試煉！擊敗額外守衛獲得神器,
branchDoubleLoot,💰💰 雙倍寶藏！,
branchEpicLoot,💎 獲得史詩級戰利品！,
branchEscapeRoute,🏃 發現逃生路線！（可選擇逃跑）,
branchGodBlessing,✨ 獲得神祇祝福！全屬性+10%,
branchHealingSpring,💧 治癒之泉！完全恢復生命值,
branchHiddenPassage,🚪 發現隱藏通道！跳過3步,
branchHiddenTreasure,🗝️ 發現隱藏寶藏！,
branchLegendaryLoot,👑 傳說級寶物！,
branchOasisBlessing,🌴 綠洲祝福！生命恢復速度+50%（持續）,
branchPowerSurge,⚡ 力量激增！攻擊力暫時+50%（3回合）,
branchQuicksand,⚠️ 陷入流沙！損失一些金幣,
branchRareItem,🎁 商人展示稀有商品！,
branchRevengeQuest,⚔️ 接受復仇任務！擊敗特定敵人獲得獎勵,
branchSecretChamber,🔓 發現秘密房間！獲得大量金幣,
branchSpecialEvent,🎲 觸發特殊事件,
branchTreasureDrop,✨ 敵人掉落了稀有寶物！,
buff_attack,攻擊,
buff_mana,魔力,
buff_penetration,穿透,
buff_regen,回復,
buff_shield,護盾,
buff_stamina,體力,
buriedTreasureFound,🏺 你發現了一個掩埋在沙中的古老陶罐...,
buy,購買,
cancel,取消,
cannotEquip,此物品無法裝備。,
cannot_move_in_battle,目前在戰鬥中，無法移動。,
caravanBandits,⚔️ 這是一群偽裝的盜賊！,
caravanBuyFood,🍖 你向商隊購買了食物和休息（花費60金幣），HP和體力完全恢復！,
caravanGift,🍞 商隊分享了食物和水，HP,
caravanGiftGold,💰 商隊隊長贈送你一些金幣（+,
caravanGiftPotion,🧪 商隊贈送你一瓶藥水以表善意。,
caravanKnowledge,📜 商隊分享了沙漠中的生存經驗和地圖情報。,
caravanMet,遇到商隊：若資金足夠可補給藥水（50金/瓶）。,
caravanNoGold,商隊願意交易，但你的金幣不足（需要60金幣）。,
caravanRestMet,🐪 你遇到了一支商隊正在休息...,
choose,選擇,
chooseDirection,你選擇哪個方向？,
chooseSpell,選擇法術,
choose_bloodline,選擇血脈 — {cls},
choose_class_title,選擇職業,
class_archer,弓箭手,
class_desert_mage,沙漠巫師,
class_mage,法師,
class_warrior,武士,
close,關閉,
combatLuck,戰鬥幸運,
consumeStamina,消耗體力,
corpse_poison_spread,💀 屍毒蔓延！每回合失血 {perTick}（持續 3 回合）,
critical,（暴擊）,
currentLevel,目前,
current_consecutive_primary,目前連續主符號：{symbol} x{count},
curseDamage,受到詛咒傷害,
curseGoldLoss,💸 你的金幣憑空消失了,
curseHpLoss,💀 詛咒侵蝕你的身體,
damageTaken,受到傷害,
damageText,傷害,
deadTravelerFound,💀 你發現了一具罹難旅人的遺體...,
declinePyramid,你決定不進入金字塔，繼續前行。,
defShort,防,
defense,防禦,
desertCleared,成功走出沙漠，進入下一張地圖，難度提升！,
desertJourney,你沿著沙漠前行...,
dirFront,前方,
dirLeft,左邊,
dirRight,右邊,
direction,走。,
dodgedAttack,你閃避了敵人的自動普攻！(戰鬥幸運,
